pl_name,hostname,default_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,sy_dist,g_fraction,intensity_index
Kepler-359 c,Kepler-359,0,57.693,,4.8,2.9,,,,,,1.1,1443.21,0.189201505,8
Kepler-359 d,Kepler-359,0,77.083,,4.6,2.7,,,,,,1.1,1443.21,0.1918037812,8
Kepler-36 b,Kepler-36,0,13.84984283,0.114132657,1.486,1.08548813,0,,,,,1.034,527.956,0.7389184721,3
Kepler-36 c,Kepler-36,1,16.21865,,3.679,7.13,0,191,,5979,1.634,1.034,527.956,0.7918428832,3
Kepler-36 c,Kepler-36,0,16.233,,3.8,7.5,,,,,,1,527.956,0.7807340738,3
Kepler-36 c,Kepler-36,0,16.23855,0.1283,3.679,8.08,0.033,,928,5911,1.626,1.071,527.956,0.8973478958,2
Kepler-37 d,Kepler-37,1,39.7922622,0.2109,2.03,2,0.1,10.39,499,5357,0.789,0.79,63.9207,0.7295364297,3
Kepler-396 c,Kepler-396,1,88.505,,5.3,17.9,,,,,1.06,0.85,223.757,0.9578783455,1
Kepler-425 b,Kepler-425,1,3.79701816,0.0464,10.962,79.45,0.33,,1070,5170,0.86,0.93,646.647,0.9938557844,1
Kepler-425 b,Kepler-425,0,3.79701816,0.04652,10.962402,71.82958,0.2,,,5170,0.86,0.93,646.647,0.898464543,2
Kepler-427 b,Kepler-427,1,10.290994,0.091,13.79,92.17,0.57,,1100,5800,1.35,0.96,1017.8,0.7285680444,3
Kepler-427 b,Kepler-427,0,10.290994,0.0913,13.78707,92.80636,0.27,,,5800,1.35,0.96,1017.8,0.7339100616,3
Kepler-435 b,Kepler-435,0,8.6001536,0.0949,22.30591,270.1555,0.18,,,6090,3.21,1.538,1418.77,0.8161744328,3
